GEOID,NAME,variable,estimate,moe
06105,"Trinity County, California",B25077_001,326200,19880
06107,"Tulare County, California",B25077_001,280900,4043
06109,"Tuolumne County, California",B25077_001,377700,10106
06111,"Ventura County, California",B25077_001,719100,6044
06113,"Yolo County, California",B25077_001,555200,10463
06115,"Yuba County, California",B25077_001,350600,10633
08001,"Adams County, Colorado",B25077_001,425000,3153
08003,"Alamosa County, Colorado",B25077_001,198500,13406
08005,"Arapahoe County, Colorado",B25077_001,480500,3292
08007,"Archuleta County, Colorado",B25077_001,432400,19054
08009,"Baca County, Colorado",B25077_001,119700,15094
08011,"Bent County, Colorado",B25077_001,110700,17279
08013,"Boulder County, Colorado",B25077_001,671100,7750
08014,"Broomfield County, Colorado",B25077_001,581600,11551
08015,"Chaffee County, Colorado",B25077_001,514900,39065
08017,"Cheyenne County, Colorado",B25077_001,166300,28780
08019,"Clear Creek County, Colorado",B25077_001,506900,47937
08021,"Conejos County, Colorado",B25077_001,154500,7717
08023,"Costilla County, Colorado",B25077_001,145200,20032
08025,"Crowley County, Colorado",B25077_001,92700,19412
08027,"Custer County, Colorado",B25077_001,327100,48296
08029,"Delta County, Colorado",B25077_001,291400,12927
08031,"Denver County, Colorado",B25077_001,540400,6845
08033,"Dolores County, Colorado",B25077_001,208000,24867
08035,"Douglas County, Colorado",B25077_001,635100,3972
08037,"Eagle County, Colorado",B25077_001,728400,47579
08039,"Elbert County, Colorado",B25077_001,623300,14540
08041,"El Paso County, Colorado",B25077_001,390500,3295
08043,"Fremont County, Colorado",B25077_001,264300,9853
08045,"Garfield County, Colorado",B25077_001,449300,20497
08047,"Gilpin County, Colorado",B25077_001,465300,40362
08049,"Grand County, Colorado",B25077_001,461200,36952
08051,"Gunnison County, Colorado",B25077_001,530300,59814
08053,"Hinsdale County, Colorado",B25077_001,369200,61204
08055,"Huerfano County, Colorado",B25077_001,231200,65890
08057,"Jackson County, Colorado",B25077_001,227300,37822
08059,"Jefferson County, Colorado",B25077_001,556800,3798
08061,"Kiowa County, Colorado",B25077_001,127400,31603
08063,"Kit Carson County, Colorado",B25077_001,182700,20314
08065,"Lake County, Colorado",B25077_001,331000,48024
08067,"La Plata County, Colorado",B25077_001,497800,17801
08069,"Larimer County, Colorado",B25077_001,488300,4554
08071,"Las Animas County, Colorado",B25077_001,190900,12026
08073,"Lincoln County, Colorado",B25077_001,238000,36532
08075,"Logan County, Colorado",B25077_001,203100,13527
08077,"Mesa County, Colorado",B25077_001,312600,9321
08079,"Mineral County, Colorado",B25077_001,379000,39118
08081,"Moffat County, Colorado",B25077_001,247500,18052
08083,"Montezuma County, Colorado",B25077_001,282500,15177
08085,"Montrose County, Colorado",B25077_001,314100,14985
08087,"Morgan County, Colorado",B25077_001,277400,11143
08089,"Otero County, Colorado",B25077_001,132600,20209
08091,"Ouray County, Colorado",B25077_001,596400,40602
08093,"Park County, Colorado",B25077_001,458600,15214
08095,"Phillips County, Colorado",B25077_001,258200,15649
08097,"Pitkin County, Colorado",B25077_001,912300,275395
08099,"Prowers County, Colorado",B25077_001,120200,12682
08101,"Pueblo County, Colorado",B25077_001,238400,5215
08103,"Rio Blanco County, Colorado",B25077_001,231800,23424
08105,"Rio Grande County, Colorado",B25077_001,202300,15979
08107,"Routt County, Colorado",B25077_001,691800,47384
08109,"Saguache County, Colorado",B25077_001,166500,21655
08111,"San Juan County, Colorado",B25077_001,344600,79229
08113,"San Miguel County, Colorado",B25077_001,561400,102977
08115,"Sedgwick County, Colorado",B25077_001,136000,16197
08117,"Summit County, Colorado",B25077_001,760000,76927
08119,"Teller County, Colorado",B25077_001,405500,24350
08121,"Washington County, Colorado",B25077_001,208300,12345
08123,"Weld County, Colorado",B25077_001,412200,5013
08125,"Yuma County, Colorado",B25077_001,201500,29592
09110,"Capitol Planning Region, Connecticut",B25077_001,283800,2161
09120,"Greater Bridgeport Planning Region, Connecticut",B25077_001,372000,5950
09130,"Lower Connecticut River Valley Planning Region, Connecticut",B25077_001,341300,5393
09140,"Naugatuck Valley Planning Region, Connecticut",B25077_001,273500,3002
09150,"Northeastern Connecticut Planning Region, Connecticut",B25077_001,268500,5504
09160,"Northwest Hills Planning Region, Connecticut",B25077_001,296800,8592
09170,"South Central Connecticut Planning Region, Connecticut",B25077_001,309600,3731
09180,"Southeastern Connecticut Planning Region, Connecticut",B25077_001,275900,4291
09190,"Western Connecticut Planning Region, Connecticut",B25077_001,595600,9460
10001,"Kent County, Delaware",B25077_001,272300,4976
10003,"New Castle County, Delaware",B25077_001,312000,3949
10005,"Sussex County, Delaware",B25077_001,324400,6785
11001,"District of Columbia, District of Columbia",B25077_001,705000,10380
12001,"Alachua County, Florida",B25077_001,245600,5680
12003,"Baker County, Florida",B25077_001,198900,18452
12005,"Bay County, Florida",B25077_001,246800,6496
12007,"Bradford County, Florida",B25077_001,153900,13648
12009,"Brevard County, Florida",B25077_001,278000,3385
12011,"Broward County, Florida",B25077_001,348600,2807
12013,"Calhoun County, Florida",B25077_001,118100,12122
12015,"Charlotte County, Florida",B25077_001,265800,5127
12017,"Citrus County, Florida",B25077_001,190800,6685
12019,"Clay County, Florida",B25077_001,254500,5768
12021,"Collier County, Florida",B25077_001,443700,9128
12023,"Columbia County, Florida",B25077_001,165300,8392
12027,"DeSoto County, Florida",B25077_001,139500,10848
12029,"Dixie County, Florida",B25077_001,93200,5103
12031,"Duval County, Florida",B25077_001,251300,3647
12033,"Escambia County, Florida",B25077_001,206400,4453
12035,"Flagler County, Florida",B25077_001,293700,5711
12037,"Franklin County, Florida",B25077_001,236100,16956
12039,"Gadsden County, Florida",B25077_001,137300,19404
12041,"Gilchrist County, Florida",B25077_001,165500,9654
12043,"Glades County, Florida",B25077_001,91300,20063
12045,"Gulf County, Florida",B25077_001,197700,15008
12047,"Hamilton County, Florida",B25077_001,100800,8998
12049,"Hardee County, Florida",B25077_001,118700,13325
12051,"Hendry County, Florida",B25077_001,153200,10009
12053,"Hernando County, Florida",B25077_001,214700,3758
12055,"Highlands County, Florida",B25077_001,155900,5143
12057,"Hillsborough County, Florida",B25077_001,294900,2471
12059,"Holmes County, Florida",B25077_001,94900,12225
12061,"Indian River County, Florida",B25077_001,284400,6789
12063,"Jackson County, Florida",B25077_001,113300,6555
12065,"Jefferson County, Florida",B25077_001,167600,26544
12067,"Lafayette County, Florida",B25077_001,118600,14330
12069,"Lake County, Florida",B25077_001,262500,5102
12071,"Lee County, Florida",B25077_001,290900,2752
12073,"Leon County, Florida",B25077_001,256900,5337
12075,"Levy County, Florida",B25077_001,151800,12986
12077,"Liberty County, Florida",B25077_001,113300,13159
12079,"Madison County, Florida",B25077_001,92400,13672
12081,"Manatee County, Florida",B25077_001,323900,6038
12083,"Marion County, Florida",B25077_001,194900,3585
12085,"Martin County, Florida",B25077_001,359200,9370
12086,"Miami-Dade County, Florida",B25077_001,387000,2484
12087,"Monroe County, Florida",B25077_001,696900,21143
12089,"Nassau County, Florida",B25077_001,306800,13837
12091,"Okaloosa County, Florida",B25077_001,295400,6126
12093,"Okeechobee County, Florida",B25077_001,158500,9542
12095,"Orange County, Florida",B25077_001,329000,3195
12097,"Osceola County, Florida",B25077_001,285200,4233
12099,"Palm Beach County, Florida",B25077_001,368300,3344
12101,"Pasco County, Florida",B25077_001,233600,4203
12103,"Pinellas County, Florida",B25077_001,284300,2458
12105,"Polk County, Florida",B25077_001,215700,2390
12107,"Putnam County, Florida",B25077_001,125700,8951
12109,"St. Johns County, Florida",B25077_001,416100,8153
12111,"St. Lucie County, Florida",B25077_001,275900,4687
12113,"Santa Rosa County, Florida",B25077_001,272500,7071
12115,"Sarasota County, Florida",B25077_001,338500,4543
12117,"Seminole County, Florida",B25077_001,329300,4502
12119,"Sumter County, Florida",B25077_001,324400,9768
12121,"Suwannee County, Florida",B25077_001,136500,8486
12123,"Taylor County, Florida",B25077_001,89300,7965
12125,"Union County, Florida",B25077_001,146200,31120
12127,"Volusia County, Florida",B25077_001,251400,3121
12129,"Wakulla County, Florida",B25077_001,198600,15194
12131,"Walton County, Florida",B25077_001,327000,16437
12133,"Washington County, Florida",B25077_001,137600,13200
13001,"Appling County, Georgia",B25077_001,88500,13291
13003,"Atkinson County, Georgia",B25077_001,77100,8403
13005,"Bacon County, Georgia",B25077_001,95600,13303
13007,"Baker County, Georgia",B25077_001,121600,23881
13009,"Baldwin County, Georgia",B25077_001,154400,10510
13011,"Banks County, Georgia",B25077_001,229900,25751
13013,"Barrow County, Georgia",B25077_001,228400,4252
13015,"Bartow County, Georgia",B25077_001,237000,7385
13017,"Ben Hill County, Georgia",B25077_001,100000,13192
13019,"Berrien County, Georgia",B25077_001,108300,14582
13021,"Bibb County, Georgia",B25077_001,155200,4786
13023,"Bleckley County, Georgia",B25077_001,121600,12804
13025,"Brantley County, Georgia",B25077_001,91900,29805
13027,"Brooks County, Georgia",B25077_001,128400,18886
13029,"Bryan County, Georgia",B25077_001,276100,14553
13031,"Bulloch County, Georgia",B25077_001,172500,10577
13033,"Burke County, Georgia",B25077_001,98300,17906
13035,"Butts County, Georgia",B25077_001,200000,15618
13037,"Calhoun County, Georgia",B25077_001,77100,14551
13039,"Camden County, Georgia",B25077_001,213400,8288
13043,"Candler County, Georgia",B25077_001,141500,22905
13045,"Carroll County, Georgia",B25077_001,196900,6981
13047,"Catoosa County, Georgia",B25077_001,191200,8825
13049,"Charlton County, Georgia",B25077_001,107500,34006
13051,"Chatham County, Georgia",B25077_001,256400,5797
13053,"Chattahoochee County, Georgia",B25077_001,129300,46469
13055,"Chattooga County, Georgia",B25077_001,86400,6118
13057,"Cherokee County, Georgia",B25077_001,358400,6740
13059,"Clarke County, Georgia",B25077_001,242600,7809
13061,"Clay County, Georgia",B25077_001,81200,29534
13063,"Clayton County, Georgia",B25077_001,167200,3613
13065,"Clinch County, Georgia",B25077_001,73900,12392
13067,"Cobb County, Georgia",B25077_001,346000,3684
13069,"Coffee County, Georgia",B25077_001,122500,12299
13071,"Colquitt County, Georgia",B25077_001,113900,6842
13073,"Columbia County, Georgia",B25077_001,259000,7210
13075,"Cook County, Georgia",B25077_001,113600,17844
13077,"Coweta County, Georgia",B25077_001,291900,7652
13079,"Crawford County, Georgia",B25077_001,149400,25880
13081,"Crisp County, Georgia",B25077_001,106900,20166
13083,"Dade County, Georgia",B25077_001,157900,12395
13085,"Dawson County, Georgia",B25077_001,312600,23984
13087,"Decatur County, Georgia",B25077_001,140800,12647
13089,"DeKalb County, Georgia",B25077_001,301100,6333
13091,"Dodge County, Georgia",B25077_001,104600,13876
13093,"Dooly County, Georgia",B25077_001,94500,10310
13095,"Dougherty County, Georgia",B25077_001,119100,4815
13097,"Douglas County, Georgia",B25077_001,227800,6684
13099,"Early County, Georgia",B25077_001,126500,17618
13101,"Echols County, Georgia",B25077_001,114900,14166
13103,"Effingham County, Georgia",B25077_001,219000,8521
13105,"Elbert County, Georgia",B25077_001,104500,10392
13107,"Emanuel County, Georgia",B25077_001,87500,6168
13109,"Evans County, Georgia",B25077_001,130500,13023
13111,"Fannin County, Georgia",B25077_001,260100,14278
13113,"Fayette County, Georgia",B25077_001,369700,8154
13115,"Floyd County, Georgia",B25077_001,174000,7140
13117,"Forsyth County, Georgia",B25077_001,451100,5238
13119,"Franklin County, Georgia",B25077_001,146700,12215
13121,"Fulton County, Georgia",B25077_001,398300,6251
13123,"Gilmer County, Georgia",B25077_001,259700,14647
13125,"Glascock County, Georgia",B25077_001,117300,28351
13127,"Glynn County, Georgia",B25077_001,238000,10208
13129,"Gordon County, Georgia",B25077_001,179100,7266
13131,"Grady County, Georgia",B25077_001,147000,15267
13133,"Greene County, Georgia",B25077_001,308000,34716
13135,"Gwinnett County, Georgia",B25077_001,307300,3806
13137,"Habersham County, Georgia",B25077_001,188800,10236
13139,"Hall County, Georgia",B25077_001,277900,6615
13141,"Hancock County, Georgia",B25077_001,93500,7192
13143,"Haralson County, Georgia",B25077_001,187700,13218
13145,"Harris County, Georgia",B25077_001,273200,10993
13147,"Hart County, Georgia",B25077_001,180500,22623
13149,"Heard County, Georgia",B25077_001,134900,13881
13151,"Henry County, Georgia",B25077_001,245200,5133
13153,"Houston County, Georgia",B25077_001,189500,5595
13155,"Irwin County, Georgia",B25077_001,94700,9095
13157,"Jackson County, Georgia",B25077_001,280600,7691
13159,"Jasper County, Georgia",B25077_001,184000,16721
13161,"Jeff Davis County, Georgia",B25077_001,106800,12691
13163,"Jefferson County, Georgia",B25077_001,90900,8534
13165,"Jenkins County, Georgia",B25077_001,81800,17971
13167,"Johnson County, Georgia",B25077_001,81300,17279
13169,"Jones County, Georgia",B25077_001,159500,8424
13171,"Lamar County, Georgia",B25077_001,177000,29806
13173,"Lanier County, Georgia",B25077_001,150200,12875
13175,"Laurens County, Georgia",B25077_001,132000,13798
13177,"Lee County, Georgia",B25077_001,208800,7985
13179,"Liberty County, Georgia",B25077_001,158400,8019
13181,"Lincoln County, Georgia",B25077_001,164300,21578
13183,"Long County, Georgia",B25077_001,159900,14853
13185,"Lowndes County, Georgia",B25077_001,177800,6649
13187,"Lumpkin County, Georgia",B25077_001,249400,13398
13189,"McDuffie County, Georgia",B25077_001,140900,18486
13191,"McIntosh County, Georgia",B25077_001,157600,24077
13193,"Macon County, Georgia",B25077_001,78100,11013
